name,address,latitude,longitude,category,rating,review_count,current_status,phone,website,plus_code,input_url,google_maps_url,weekly_hours
El Corte Inglés Serrano,"C. de Serrano, 47, Salamanca, 28001 Madrid",40.4302926,-3.687152,쇼핑몰,4.3,7964,영업 중 · 오후 10:00에 영업 종료,914 32 54 90,https://www.elcorteingles.es/centroscomerciales/es/eci/centros/centro-comercial-serrano,C8J7+44 마드리드,https://maps.app.goo.gl/GNaJfx7SFYvw4AgW6,"https://www.google.com/maps/place/El+Corte+Ingl%C3%A9s+Serrano/@40.4317315,-3.6862606,16.22z/data=!3m1!5s0xd422895d3db1aa9:0x4196b7b9a4b5fc91!4m6!3m5!1s0xd4228940fbf3183:0x5d2616dbcada3905!8m2!3d40.4302926!4d-3.687152!16s%2Fg%2F1hhlx382d?entry=ttu","월요일,오전 10:00~오후 10:00 | 화요일,오전 10:00~오후 10:00 | 수요일,오전 10:00~오후 10:00 | 목요일,오전 10:00~오후 10:00 | 금요일,오전 10:00~오후 10:00 | 토요일,오전 10:00~오후 10:00 | 일요일,오전 11:00~오후 9:00"
Mercado de la Paz,"Cl. de Ayala, 28B, Salamanca, 28001 Madrid",40.4273724,-3.6857317,시장,4.5,11405,영업 중 · 오후 8:00에 영업 종료,914 35 07 43,https://www.mercadodelapaz.com/,C8G7+WP 마드리드,https://maps.app.goo.gl/ngWUcux7i98iBVR6A,"https://www.google.com/maps/place/Mercado+de+la+Paz/@40.4303388,-3.6851148,16.22z/data=!4m6!3m5!1s0xd4228968e77f1ed:0xb626311160b1f371!8m2!3d40.4273724!4d-3.6857317!16s%2Fg%2F122whpnt?entry=ttu","월요일,오전 9:00~오후 8:00 | 화요일,오전 9:00~오후 8:00 | 수요일,오전 9:00~오후 8:00 | 목요일,오전 9:00~오후 8:00 | 금요일,오전 9:00~오후 8:00 | 토요일,오전 9:00~오후 2:30 | 일요일,휴무일"
Sánchez Romero,"Calle de Castelló, 23, 25, Salamanca, 28001 Madrid",40.4245894,-3.681702,슈퍼마켓,4.0,525,영업 중 · 오후 10:00에 영업 종료,914 32 47 99,http://www.sanchez-romero.com/,C8F9+R8 마드리드,https://maps.app.goo.gl/DnTkp4DFtijGCMUD7,"https://www.google.com/maps/place/S%C3%A1nchez+Romero/@40.4265547,-3.6851518,16.22z/data=!4m6!3m5!1s0xd4229db7ec38c9b:0x124f3882187ef6b6!8m2!3d40.4245894!4d-3.681702!16s%2Fg%2F11fct8gc75?entry=ttu","월요일,오전 9:00~오후 10:00 | 화요일,오전 9:00~오후 10:00 | 수요일,오전 9:00~오후 10:00 | 목요일,오전 9:00~오후 10:00 | 금요일,오전 9:00~오후 10:00 | 토요일,오전 9:00~오후 10:00 | 일요일,오전 9:30~오후 9:00"
Mercadona,"Calle del Príncipe de Vergara, 90, Salamanca, 28006 Madrid",40.4364667,-3.6790594,슈퍼마켓,3.6,207,영업 중 · 오후 9:30에 영업 종료,913 24 75 20,http://mercadona.es/,C8PC+H9 마드리드,https://maps.app.goo.gl/pFXJRiu1EQgdPPX67,"https://www.google.com/maps/place/Mercadona/@40.4326277,-3.6855927,16z/data=!3m1!5s0xd4228c6e24f05c1:0x611d4261d8a4b3e5!4m7!3m6!1s0xd4229b8cd162655:0xbfc0f36700899c16!8m2!3d40.4364667!4d-3.6790594!15sCgltZXJjYWRvbmEiA4gBAVoLIgltZXJjYWRvbmGSAQtzdXBlcm1hcmtldOABAA!16s%2Fg%2F11vhj1hzzb?entry=ttu","월요일,오전 9:00~오후 9:30 | 화요일,오전 9:00~오후 9:30 | 수요일,오전 9:00~오후 9:30 | 목요일,오전 9:00~오후 9:30 | 금요일,오전 9:00~오후 9:30 | 토요일,오전 9:00~오후 9:30 | 일요일,휴무일"
Carrefour Express,"C. de Hermosilla, 28, Salamanca, 28001 Madrid",40.4262844,-3.6847734,슈퍼마켓,3.9,695,영업 중 · 오후 11:00에 영업 종료,658 55 00 09,https://www.carrefour.es/tiendas-carrefour/supermercados/carrefour-express/carrefour_express_calle_hermosilla.aspx,C8G8+G3 마드리드,https://maps.app.goo.gl/64pwFpfnEoN1Qs3k8,"https://www.google.com/maps/place/Carrefour+Express/@40.4316504,-3.6898864,16z/data=!4m6!3m5!1s0xd422896533cd335:0x6770ca69c0d20405!8m2!3d40.4262844!4d-3.6847734!16s%2Fg%2F11cnwnrcgt?entry=ttu","월요일,오전 8:00~오후 11:00 | 화요일,오전 8:00~오후 11:00 | 수요일,오전 8:00~오후 11:00 | 목요일,오전 8:00~오후 11:00 | 금요일,오전 8:00~오후 11:00 | 토요일,오전 8:00~오후 11:00 | 일요일,오전 9:00~오후 11:00"
